year,total_stock_change,co2_removals,sawnwood_domestic_inflow,woodpanels_domestic_inflow,paper_domestic_inflow,sawnwood_domestic_stock,woodpanel_domestic_stock,paper_domestic_stock,sawnwood_domestic_stock_change,woodpanels_domestic_stock_change,paper_domestic_stock_change,domestic_stock_change,domestic_co2_removals,sawnwood_export_inflow,woodpanels_export_inflow,paper_export_inflow,sawnwood_export_stock,woodpanel_export_stock,paper_export_stock,sawnwood_export_stock_change,woodpanels_export_stock_change,paper_export_stock_change,export_stock_change,export_co2_removals
1921,458394.5430710865,-1680779.9912606506,580866.5671181222,27284.796284369422,71991.17617686541,8711087.140630908,380757.38320614764,200368.6714262676,412420.76351257414,16962.01692293625,3046.1076039845066,432428.88803949486,-1585572.5894781477,34874.95059415652,1638.1661060473891,4389.237842894104,523009.5014043324,22860.490996333036,12216.299300263514,24761.54519077437,1018.391375319683,185.71846549762085,25965.655031591676,-95207.40178250281
1922,459075.6093681031,-1683277.2343497113,589704.2085525218,27699.92302744957,73086.49175794351,9124171.289573066,397664.99756852875,203448.2582218688,413084.1489421576,16907.614362381108,3079.586795601208,433071.35010013997,-1587928.2837005132,35405.55835476961,1663.0901169558863,4456.018257573931,547810.8759386967,23875.616067962757,12404.058962232666,24801.374534364266,1015.1250716297218,187.75966196915215,26004.25926796314,-95348.95064919819
1923,459896.73667057673,-1686288.0344587814,598676.3109983554,28121.36574998671,74198.47210664819,9538038.953671936,414525.9262362544,206565.60196246722,413867.66409887,16860.928667725646,3117.343740598415,433845.93650719407,-1590768.4338597115,35944.23909013465,1688.3933362471435,4523.814708281977,572659.2923479541,24887.9381528366,12594.120631484024,24848.41640925745,1012.322084873842,190.06166925135767,26050.80016338265,-95519.60059906972
1924,460856.349939862,-1689806.6164461605,607784.9202235729,28549.220546961882,75327.37077043632,9952809.93262758,431347.7698321689,209723.94175227906,414770.97895564325,16821.843595914484,3158.339789811842,434751.16234136955,-1594087.5952516883,36491.115627179934,1714.0815334178158,4592.642653580692,597561.9433487414,25897.91358871126,12786.68179331451,24902.65100078727,1009.9754358746613,192.56116183048653,26105.18759849242,-95719.0211944722
1925,461953.2447850479,-1693828.5642118421,617032.1131216257,28983.584975400972,76473.44515438311,10368603.733403943,448138.0173566963,212925.78551976968,415793.8007763643,16790.247524527425,3201.8437674906163,435785.89206838235,-1597881.6042507351,37046.31266159395,1740.1605657450314,4662.517787228076,622526.0040819587,26905.99201158678,12981.895353887237,24964.06073321728,1008.0784228755183,195.21356057272715,26167.352716665526,-95946.95996110693
1926,463186.49157922657,-1698350.4691238308,626419.9981850295,29424.55807661917,77636.9565798741,10785539.60725746,464904.0507040634,216173.12748379033,416935.87385351583,16766.033347367076,3247.3419640206557,436949.24916490354,-1602147.2469379795,37609.956786257855,1766.6363796219373,4733.456041756078,647558.6343359493,27912.61662685837,13179.882898948043,25032.630253990646,1006.6246152715903,197.98754506080513,26237.242414323042,-96203.22218585115
1927,464555.3675627915,-1703369.6810635687,635950.7159861295,29872.240398803748,78818.1703441902,11203736.586515568,481653.14907729777,219467.60197571438,418196.9792581089,16749.09837323439,3294.4744919240475,438240.5521232673,-1606882.0244519801,38182.176520110464,1793.5150119135585,4805.473592103446,672666.9807546651,28918.224474390816,13380.744072224012,25108.34641871578,1005.6078475324466,200.86117327596912,26314.815439524195,-96487.65661158871
1928,466059.30874112446,-1708884.1320507897,645626.4396651824,30326.73401994053,80017.35578099934,11623313.521117322,498392.49330511026,222810.59225923475,419576.93460175395,16739.344227812486,3342.9902835203684,439659.2691130868,-1612083.9867479848,38763.102337452365,1820.8025913332935,4878.586859303845,697858.179031546,29923.246687702023,13584.563210069551,25191.198276880896,1005.0222133112075,203.81913784553944,26400.039628037644,-96800.1453028047
1929,467697.8757835776,-1714892.2112064513,655449.3754258639,30788.142571089145,81234.78632176835,12044389.114928085,515129.1700636867,226203.30752948095,421075.5938107632,16736.676758576417,3392.7152702462045,441204.98583958583,-1617751.614745148,39352.86669769601,1848.505339840348,4952.812514230088,723139.3560898381,30928.108747437378,13791.414036033895,25281.177058292087,1004.8620597353547,206.85082596434404,26492.889943991788,-97140.59646130321
1930,469470.72982730786,-1721392.6760334622,665421.7630383136,31256.57126001234,82470.73955810921,12467081.961840218,531870.1760063398,229646.83741230587,422692.8469121326,16741.005942653166,3443.5298828249215,442877.38273761066,-1623883.7367045723,39951.60407556826,1876.6295740584274,5028.167481395329,748517.6322500604,31933.230729312058,14001.362983634073,25378.27616022236,1005.1219818746795,209.94894760017814,26593.34708969722,-97508.93932888981
